; TODO add documenation
; commit 1a48da31925b0dd
; date Tue Nov 11 12:03:20 2025
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
2053,4.69789,0.00338,0.017094804,0.407564191,8.59895,0.02163,128.61274,0,5200.09142,219.7035693491568,15.8289762,0.792660629,1.370772368,0.350011249,10.262198914768788,-0.221574085610717,0,0.15491,0.32207,0.06615
2054,4.44632,0.00304,0.015548878,0.393498128,8.2619,0.01924,128.11692,0,5180.61276,219.7035693491568,15.0511596,0.719962872,1.199925524,0.347321972,10.262198914768788,-0.221483004749564,0,0.14448,0.31086,0.0635
2055,4.19475,0.0027,0.014002952,0.379432065,7.92485,0.01685,127.6211,0,5161.1341,219.7035693491568,14.273343,0.647265115,1.02907868,0.344632695,10.262198914768788,-0.221333002912915,0,0.13405,0.29965,0.06085
2056,3.94318,0.00236,0.012457026,0.365366002,7.5878,0.01446,127.12528,0,5141.6554400000005,219.7035693491568,13.4955264,0.574567358,0.858231836,0.341943418,10.262198914768788,-0.221124080100769,0,0.12362,0.28844,0.0582
2057,3.69161,0.00202,0.0109111,0.351299939,7.25075,0.012070000000000001,126.62946,0,5122.17678,219.7035693491568,12.7177098,0.501869601,0.687384992,0.339254141,10.262198914768788,-0.220856236313126,0,0.11319,0.27723,0.05555
2058,3.44004,0.00168,0.009365174,0.337233876,6.9137,0.00968,126.13364,0,5102.69812,219.7035693491568,11.9398932,0.429171844,0.516538148,0.336564864,10.262198914768788,-0.220529471549987,0,0.10276,0.26602,0.0529
2059,3.18847,0.00134,0.007819249,0.323167813,6.57665,0.00729,125.63782,0,5083.21946,219.7035693491568,11.1620766,0.356474087,0.345691304,0.333875587,10.262198914768788,-0.220143785811351,0,0.09233,0.25481,0.05025
2060,2.9369,0.001,0.006273323,0.30910175,6.2396,0.0049,125.142,0,5063.7408,219.7035693491568,10.38426,0.28377633,0.17484446,0.33118631,10.262198914768788,-0.219699179097218,0,0.0819,0.2436,0.0476
2061,2.80139,9.2e-4,0.005825228,0.299431331,6.02076,0.00449,124.79645,0,5050.16298,219.7035693491568,9.93955833,0.263361767,0.158985329,0.328902266,10.262198914768788,-0.219235189647523,0,0.07732,0.23592,0.0459
2062,2.66588,8.4e-4,0.005377134,0.289760912,5.80192,0.00408,124.4509,0,5036.58516,219.7035693491568,9.49485666,0.242947203,0.143126197,0.326618222,10.262198914768788,-0.218751817462268,0,0.07274,0.22824,0.0442
2063,2.53037,7.6e-4,0.004929039,0.280090493,5.58308,0.00367,124.10535,0,5023.00734,219.7035693491568,9.05015499,0.22253264,0.127267066,0.324334178,10.262198914768788,-0.21824906254145,0,0.06816,0.22056,0.0425
2064,2.39486,6.8e-4,0.004480945,0.270420074,5.36424,0.00326,123.7598,0,5009.42952,219.7035693491568,8.60545332,0.202118076,0.111407935,0.322050134,10.262198914768788,-0.217726924885072,0,0.06358,0.21288,0.0408
