"scenario","year","variable","hector","units"
"old",1907,"CO2_concentration",296.256522341195,"ppmv CO2"
"old",1908,"CO2_concentration",296.64741094315,"ppmv CO2"
"old",1909,"CO2_concentration",297.020087454627,"ppmv CO2"
"old",1910,"CO2_concentration",297.401913037647,"ppmv CO2"
"old",1911,"CO2_concentration",297.789390360459,"ppmv CO2"
"old",1912,"CO2_concentration",298.143893434509,"ppmv CO2"
"old",1913,"CO2_concentration",298.442735442542,"ppmv CO2"
"old",1914,"CO2_concentration",298.724681452046,"ppmv CO2"
"old",1915,"CO2_concentration",298.983613549003,"ppmv CO2"
"old",1916,"CO2_concentration",299.254216217815,"ppmv CO2"
"old",1917,"CO2_concentration",299.557409488919,"ppmv CO2"
"old",1918,"CO2_concentration",299.868289112484,"ppmv CO2"
"old",1919,"CO2_concentration",300.167085127092,"ppmv CO2"
"old",1920,"CO2_concentration",300.416588350944,"ppmv CO2"
"old",1921,"CO2_concentration",300.717542049436,"ppmv CO2"
"old",1922,"CO2_concentration",300.985899993624,"ppmv CO2"
"old",1923,"CO2_concentration",301.258293674554,"ppmv CO2"
"old",1924,"CO2_concentration",301.573038655872,"ppmv CO2"
"old",1925,"CO2_concentration",301.890034517639,"ppmv CO2"
"old",1926,"CO2_concentration",302.207036362237,"ppmv CO2"
"old",1927,"CO2_concentration",302.512031680328,"ppmv CO2"
"old",1928,"CO2_concentration",302.870855714606,"ppmv CO2"
"old",1929,"CO2_concentration",303.216901866356,"ppmv CO2"
"old",1930,"CO2_concentration",303.581769900573,"ppmv CO2"
"old",1931,"CO2_concentration",303.943223928193,"ppmv CO2"
"old",1932,"CO2_concentration",304.263954780927,"ppmv CO2"
"old",1933,"CO2_concentration",304.48778683342,"ppmv CO2"
"old",1934,"CO2_concentration",304.738132910873,"ppmv CO2"
"old",1935,"CO2_concentration",305.016915143249,"ppmv CO2"
"old",1936,"CO2_concentration",305.309740497183,"ppmv CO2"
"old",1937,"CO2_concentration",305.640409580655,"ppmv CO2"
"old",1938,"CO2_concentration",305.983159266513,"ppmv CO2"
"old",1939,"CO2_concentration",306.28804951122,"ppmv CO2"
"old",1940,"CO2_concentration",306.616752742753,"ppmv CO2"
"old",1941,"CO2_concentration",306.97256521186,"ppmv CO2"
"old",1942,"CO2_concentration",307.318533798015,"ppmv CO2"
"old",1943,"CO2_concentration",307.66379507768,"ppmv CO2"
"old",1944,"CO2_concentration",308.017547857743,"ppmv CO2"
"old",1945,"CO2_concentration",308.359595934916,"ppmv CO2"
"old",1946,"CO2_concentration",308.607918312379,"ppmv CO2"
"old",1947,"CO2_concentration",308.951740489816,"ppmv CO2"
"old",1948,"CO2_concentration",309.366929417431,"ppmv CO2"
"old",1949,"CO2_concentration",309.809787814015,"ppmv CO2"
"old",1950,"CO2_concentration",310.230827527614,"ppmv CO2"
"old",1951,"CO2_concentration",310.723726107053,"ppmv CO2"
"old",1952,"CO2_concentration",311.352064469314,"ppmv CO2"
"old",1953,"CO2_concentration",311.980720082426,"ppmv CO2"
"old",1954,"CO2_concentration",312.609751623332,"ppmv CO2"
"old",1955,"CO2_concentration",313.266232529428,"ppmv CO2"
"old",1956,"CO2_concentration",314.001755735999,"ppmv CO2"
"old",1957,"CO2_concentration",314.800227554917,"ppmv CO2"
"old",1958,"CO2_concentration",315.620832497675,"ppmv CO2"
"old",1959,"CO2_concentration",316.47479961283,"ppmv CO2"
"old",1960,"CO2_concentration",317.336005381787,"ppmv CO2"
"old",1961,"CO2_concentration",318.219731102099,"ppmv CO2"
"old",1962,"CO2_concentration",319.105949885601,"ppmv CO2"
"old",1963,"CO2_concentration",319.992798964015,"ppmv CO2"
"old",1964,"CO2_concentration",320.843472162933,"ppmv CO2"
"old",1965,"CO2_concentration",321.713686350387,"ppmv CO2"
"old",1966,"CO2_concentration",322.666356759066,"ppmv CO2"
"old",1967,"CO2_concentration",323.716905322122,"ppmv CO2"
"old",1968,"CO2_concentration",324.81237367596,"ppmv CO2"
"old",1969,"CO2_concentration",325.953208897322,"ppmv CO2"
"old",1970,"CO2_concentration",327.171273376064,"ppmv CO2"
"old",1971,"CO2_concentration",328.464545133127,"ppmv CO2"
"old",1972,"CO2_concentration",329.733499184474,"ppmv CO2"
"old",1973,"CO2_concentration",331.021466536998,"ppmv CO2"
"old",1974,"CO2_concentration",332.403901003184,"ppmv CO2"
"old",1975,"CO2_concentration",333.721829951826,"ppmv CO2"
"old",1976,"CO2_concentration",334.976458492744,"ppmv CO2"
"old",1977,"CO2_concentration",336.341452220012,"ppmv CO2"
"old",1978,"CO2_concentration",337.775862135241,"ppmv CO2"
"old",1979,"CO2_concentration",339.255592334541,"ppmv CO2"
"old",1980,"CO2_concentration",340.744947169285,"ppmv CO2"
"old",1981,"CO2_concentration",342.154759184807,"ppmv CO2"
"old",1982,"CO2_concentration",343.488946412392,"ppmv CO2"
"old",1983,"CO2_concentration",344.747545437264,"ppmv CO2"
"old",1984,"CO2_concentration",346.003007232286,"ppmv CO2"
"old",1985,"CO2_concentration",347.325999065381,"ppmv CO2"
"old",1986,"CO2_concentration",348.703036965208,"ppmv CO2"
"old",1987,"CO2_concentration",350.130866050759,"ppmv CO2"
"old",1988,"CO2_concentration",351.604729688456,"ppmv CO2"
"old",1989,"CO2_concentration",353.145509066175,"ppmv CO2"
"old",1990,"CO2_concentration",354.705994791857,"ppmv CO2"
"old",1991,"CO2_concentration",356.188850372576,"ppmv CO2"
"old",1992,"CO2_concentration",357.670468458357,"ppmv CO2"
"old",1993,"CO2_concentration",358.937320254976,"ppmv CO2"
"old",1994,"CO2_concentration",360.139661676355,"ppmv CO2"
"old",1995,"CO2_concentration",361.455743453355,"ppmv CO2"
"old",1996,"CO2_concentration",362.891564452135,"ppmv CO2"
"old",1997,"CO2_concentration",364.409661312072,"ppmv CO2"
"old",1998,"CO2_concentration",366.298932420274,"ppmv CO2"
"old",1999,"CO2_concentration",367.922310930387,"ppmv CO2"
"old",2000,"CO2_concentration",369.50616463201,"ppmv CO2"
"old",2001,"CO2_concentration",371.175398890089,"ppmv CO2"
"old",2002,"CO2_concentration",372.77402656341,"ppmv CO2"
"old",2003,"CO2_concentration",374.482667442239,"ppmv CO2"
"old",2004,"CO2_concentration",376.252898961003,"ppmv CO2"
"old",2005,"CO2_concentration",378.250086750201,"ppmv CO2"
