; TODO add documenation
; commit 5933a4bd2787423
; date Wed Aug 20 17:58:44 2025
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1815,0.024856862,0,0,0,0,0,104.94955,0,4268.4808,223.22887913429685,0,0,0,0,9.258266790096862,-0.0150594472446464,-3.34180490131974,0.007723273,0,0
1816,0.024856862,0,0,0,0,0,104.93504,0,4267.7184,223.22174154016633,0,0,0,0,9.250828126569552,-0.0153834223002343,-4.32881379191978,0.007723273,0,0
1817,0.024856862,0,0,0,0,0,104.95336,0,4268.6815,224.38536473889675,0,0,0,0,9.234318381304178,-0.0157542645928816,-1.51951975628486,0.007723273,0,0
1818,0.024856862,0,0,0,0,0,104.94012,0,4267.9855,223.58556453016573,0,0,0,0,9.248286762358084,-0.0161251068855289,-0.395445519562877,0.007723273,0,0
1819,0.024856862,0,0,0,0,0,104.92235,0,4267.0511,223.27493200914327,0,0,0,0,9.24144803429546,-0.0164959491781762,-0.00985295152602285,0.007723273,0,0
1820,0.024856862,0,0,0,0,0,104.88909,0,4265.3029,222.65034739683128,0,0,0,0,9.240015296570638,-0.0168667914708235,0.12003571660704,0.007723273,0,0
1821,0.024856862,0,0,0,0,0,104.93899,0,4267.9261,223.3944987034651,0,0,0,0,9.249133366885948,-0.0172376337634708,0.0603751726292215,0.007723273,0,0
1822,0.024856862,0,0,0,0,0,104.92104,0,4266.9822,224.01977653132906,0,0,0,0,9.25437597374953,-0.0176084760561181,0.0654325060086605,0.007723273,0,0
1823,0.024856862,0,0,0,0,0,104.94096,0,4268.0293,224.26958320638994,0,0,0,0,9.250334619667008,-0.0179793183487654,-0.270067719030145,0.007723273,0,0
1824,0.024856862,0,0,0,0,0,104.93425,0,4267.6765,224.54804319964296,0,0,0,0,9.244644034493945,-0.0183549444979147,-0.0296613843038838,0.007723273,0,0
1825,0.024856862,0,0,0,0,0,104.91652,0,4266.7449,224.16152724483712,0,0,0,0,9.248549516719578,-0.0187628709494922,0.110565061135486,0.007723273,0,0
1826,0.024856862,0,0,0,0,0,104.90841,0,4266.3186,224.09384928940202,0,0,0,0,9.24223941993466,-0.0191707974010697,0.160373955190746,0.007723273,0,0
1827,0.024856862,0,0,0,0,0,104.91515,0,4266.6729,223.80551617555835,0,0,0,0,9.21825455716862,-0.0195787238526472,0.17722825483511,0.007723273,0,0
1828,0.024856862,0,0,0,0,0,104.87222,0,4264.4159,223.25502682714182,0,0,0,0,9.22907682662214,-0.0199866503042246,0.182895387588404,0.007723273,0,0
1829,0.024856862,0,0,0,0,0,104.90025,0,4265.8895,223.43065005232495,0,0,0,0,9.224041400745964,-0.0203945767558021,0.184799293647762,0.007723273,0,0
1830,0.024856862,0,0,0,0,0,104.8667,0,4264.1256,223.14015909858128,0,0,0,0,9.237833497295547,-0.0208025032073796,0.185438847257309,0.007723273,0,0
1831,0.024856862,0,0,0,0,0,104.89174,0,4265.442,223.42956765647466,0,0,0,0,9.240544673349149,-0.021210429658957,-2.24474060135272,0.007723273,0,0
1832,0.024856862,0,0,0,0,0,104.90924,0,4266.362,223.4637628696109,0,0,0,0,9.24001917568968,-0.0216526839062495,-1.49876821092136,0.007723273,0,0
1833,0.024856862,0,0,0,0,0,104.89175,0,4265.4426,222.56248051827544,0,0,0,0,9.219684305688364,-0.0221492897577625,-0.419484543914228,0.007723273,0,0
1834,0.024856862,0,0,0,0,0,104.854,0,4263.4584,222.74112242354096,0,0,0,0,9.227182086899967,-0.0226458956092754,-0.0193371817849821,0.007723273,0,0
1835,0.024856862,0,0,0,0,0,104.8698,0,4264.2887,222.85850397083433,0,0,0,0,9.230233974482063,-0.0231425014607884,-1.6633625299236,0.007723273,0,0
1836,0.024856862,0,0,0,0,0,104.84901,0,4263.1961,221.13903639269583,0,0,0,0,9.221486835432014,-0.0236391073123013,-1.06772527965898,0.007723273,0,0
1837,0.024856862,0,0,0,0,0,104.86946,0,4264.2707,220.2907770800658,0,0,0,0,9.207495640753809,-0.0241357131638143,-0.264059120837688,0.007723273,0,0
1838,0.024856862,0,0,0,0,0,104.85548,0,4263.5362,219.32257605225917,0,0,0,0,9.218670201784263,-0.0246323190153272,0.0333550191991025,0.007723273,0,0
1839,0.024856862,0,0,0,0,0,104.83788,0,4262.6108,219.5084541665788,0,0,0,0,9.221271156776975,-0.0251289248668402,0.134507634364938,0.007723273,0,0
1840,0.024856862,0,0,0,0,0,104.80755,0,4261.0163,220.40456240775262,0,0,0,0,9.208353326270192,-0.0256255307183531,0.168542630719707,0.007723273,0,0
1841,0.024856862,0,0,0,0,0,104.84789,0,4263.137,220.8738002699426,0,0,0,0,9.219415795010388,-0.0261450232024029,0.179977935615454,0.007723273,0,0
1842,0.024856862,0,0,0,0,0,104.84034,0,4262.7403,221.52361912660066,0,0,0,0,9.230663301213747,-0.0266889252567197,0.183819296319509,0.007723273,0,0
1843,0.024856862,0,0,0,0,0,104.85726,0,4263.6297,223.54328594904908,0,0,0,0,9.22592606570741,-0.0272328273110365,0.18510965928097,0.007723273,0,0
1844,0.024856862,0,0,0,0,0,104.85117,0,4263.3094,225.60602878504076,0,0,0,0,9.217257910490863,-0.0277767293653533,0.185543099930512,0.007723273,0,0
1845,0.024856862,0,0,0,0,0,104.83257,0,4262.3319,225.05828279336475,0,0,0,0,9.2214881520235,-0.0283206314196701,0.185688705335297,0.007723273,0,0
1846,0.024856862,0,0,0,0,0,104.82423,0,4261.8933,224.25397616430647,0,0,0,0,9.20947634232482,-0.028864533473987,0.00353556211316785,0.007723273,0,0
1847,0.024856862,0,0,0,0,0,104.82758,0,4262.0693,221.4609880992342,0,0,0,0,9.19075505656514,-0.0294084355283038,0.0598615081906203,0.007723273,0,0
1848,0.024856862,0,0,0,0,0,104.78829,0,4260.004,219.27350770804648,0,0,0,0,9.197953549760005,-0.0299523375826206,0.140529989070926,0.007723273,0,0
1849,0.024856862,0,0,0,0,0,104.81678,0,4261.5016,219.26235464447083,0,0,0,0,9.19323209004788,-0.0305530115909365,0.170434577456348,0.007723273,0,0
1850,0.024856862,0,0,0,0,0,104.93295,0,4267.6083,218.58293855814165,0,0,0,0,9.502226084343574,-0.0312568797032953,0.180745975102511,0.007723273,0,0
1851,0.024856862,0,0,0,0,0,104.96457,0,4269.2706,219.36569893226536,0,0,0,0,9.512875387496884,-0.0319607478156542,0.184312798701751,0.007723273,0,0
1852,0.024856862,0,0,0,0,0,104.98199,0,4270.1861,221.06671887291876,0,0,0,0,9.616344852576049,-0.032664615928013,0.179540339543076,0.007723273,0,0
1853,0.024856862,0,0,0,0,0,104.9693,0,4269.5191,222.04064721361635,0,0,0,0,9.61124108655111,-0.0333684840403718,0.0158872542411766,0.007723273,0,0
1854,0.024856862,0,0,0,0,0,104.9226,0,4267.0641,221.2187470920693,0,0,0,0,9.6635162762165,-0.0340723521527306,-0.0141126119562986,0.007723273,0,0
1855,0.024856862,0,0,0,0,0,104.95064,0,4268.5385,222.54279009680837,0,0,0,0,9.679886788821726,-0.0347762202650894,0.112948594612603,0.007723273,0,0
1856,0.024856862,0,0,0,0,0,104.92886,0,4267.3934,222.03265333307837,0,0,0,0,9.611748417630686,-0.0354800883774483,0.122255611484775,0.007723273,0,0
1857,0.024856862,0,0,0,0,0,104.94976,0,4268.4922,222.44754811236444,0,0,0,0,9.527920486081184,-0.0361839564898071,-0.0448233313901344,0.007723273,0,0
1858,0.024856862,0,0,0,0,0,104.93987,0,4267.9722,223.12476058580995,0,0,0,0,9.818214376903777,-0.0368878246021659,0.0862878258264031,0.007723273,0,0
1859,0.024856862,0,0,0,0,0,104.91443,0,4266.635,223.39564045324644,0,0,0,0,9.929869112747028,-0.0375916927145247,0.153503429326944,0.007723273,0,0
1860,0.024856862,0,0,0,0,0,104.89112,0,4265.4096,222.92917142526613,0,0,0,0,10.04167175099839,-0.0382955608268836,0.176769373739714,0.007723273,0,0
1861,0.024856862,0,0,0,0,0,104.94268,0,4268.1198,223.74940935480166,0,0,0,0,10.015054646704629,-0.0389994289392424,0.116236223386729,0.007723273,0,0
1862,0.024856862,0,0,0,0,0,104.93302,0,4267.612,225.2541785443134,0,0,0,0,9.929570601302611,-0.0397032970516012,-0.623799831180519,0.007723273,0,0
1863,0.024856862,0,0,0,0,0,104.9509,0,4268.552,227.3750197654799,0,0,0,0,9.90053659727694,-0.04040716516396,-0.258572908735476,0.007723273,0,0
1864,0.024856862,0,0,0,0,0,104.94467,0,4268.2247,228.66174301796198,0,0,0,0,9.94087329816142,-0.041111033276318897,0.0379998464610089,0.007723273,0,0
1865,0.024856862,0,0,0,0,0,104.93017,0,4267.4623,227.9009607501131,0,0,0,0,9.990832269038512,-0.0418149013886777,0.142928868141985,0.007723273,0,0
1866,0.024856862,0,0,0,0,0,104.92398,0,4267.1368,229.0356424996527,0,0,0,0,9.96853747897975,-0.0425187695010365,0.17441047396718,0.007723273,0,0
1867,0.024856862,0,0,0,0,0,104.93094,0,4267.5026,229.49265172454506,0,0,0,0,10.01644461640397,-0.0432226376133953,0.184669175213072,0.007723273,0,0
1868,0.024856862,0,0,0,0,0,104.89186,0,4265.4483,228.29440912786012,0,0,0,0,9.997913817087774,-0.0439265057257541,0.188148666241629,0.007723273,0,0
1869,0.024856862,0,0,0,0,0,104.93014,0,4267.4609,228.07326668209427,0,0,0,0,9.937295656915218,-0.04497175592065,0.189412365034656,0.007723273,0,0
1870,0.024856862,0,0,0,0,0,104.89317,0,4265.5174,226.37375016956932,0,0,0,0,10.069554186119634,-0.0462326187834362,0.189950840385198,0.007723273,0,0
1871,0.024856862,0,0,0,0,0,104.92871,0,4267.3856,225.0175011842621,0,0,0,0,10.049094444198923,-0.0474934816462225,0.190250396871541,0.007723273,0,0
1872,0.024856862,0,0,0,0,0,104.95075,0,4268.5441,224.31184482429373,0,0,0,0,10.018794393871932,-0.0487543445090087,0.188834315740248,0.007723273,0,0
1873,0.024856862,0,0,0,0,0,104.93223,0,4267.5705,222.4762964544841,0,0,0,0,9.978793234252093,-0.050015207371795,-0.0158300305583035,0.007723273,0,0
1874,0.024856862,0,0,0,0,0,104.88493,0,4265.0843,223.98987339476687,0,0,0,0,10.0144649390639,-0.0512760702345812,0.101375665456665,0.007723273,0,0
1875,0.024856862,0,0,0,0,0,104.93101,0,4267.5065,224.59020552710464,0,0,0,0,9.92343670258233,-0.0525369330973675,0.118986331634054,0.007723273,0,0
1876,0.024856862,0,0,0,0,0,104.90175,0,4265.968,223.4172888135783,0,0,0,0,9.815848682895862,-0.0537977959601538,0.130107323587028,0.007723273,0,0
1877,0.024856862,0,0,0,0,0,104.92824,0,4267.3608,223.78962979353338,0,0,0,0,9.851293741863168,-0.0550442998834931,0.169607246854543,0.007723273,0,0
1878,0.024856862,0,0,0,0,0,104.92472,0,4267.1759,224.38859692483376,0,0,0,0,9.819631361526756,-0.0561568265949681,0.184410742676387,0.007723273,0,0
1879,0.024856862,0,0,0,0,0,104.88028,0,4264.8396,224.75682096259376,0,0,0,0,9.834120780757472,-0.0572693533064431,0.188659304128988,0.007723273,0,0
